Id_FoodType,Name_FoodType,,,,,,,,,
,סלטים,,,,,,,,,
,מרקים,,,,,,,,,
,מתאבנים,,,,,,,,,
,מאפים מתוקים,,,,,,,,,
,מאפים מלוחים,,,,,,,,,
,לחמים,,,,,,,,,
,בצקים,,,,,,,,,
,עוגיות מתוקות,,,,,,,,,
,עוגיות מלוחות,,,,,,,,,
,עוגות בחושות,,,,,,,,,
,עוגות שמרים,,,,,,,,,
,עוגות שוקולד,,,,,,,,,
,עוגות גבינה,,,,,,,,,
,עוגות מוס וקרם,,,,,,,,,
,עוגות טורט ופאי,,,,,,,,,
,עוגות ללא אפייה,,,,,,,,,
,גלידות ומקפאים,,,,,,,,,
,קינוחי כוסות,,,,,,,,,
,שוקולד,,,,,,,,,
,חטיפים וממתקים,,,,,,,,,
,פשטידות וקישים,,,,,,,,,
,ממולאים,,,,,,,,,
,אורז וקטניות,,,,,,,,,
,ממרחים,,,,,,,,,
,רטבים ומטבלים,,,,,,,,,
,פירות,,,,,,,,,
,ירקות,,,,,,,,,
,חמוצים וכבושים,,,,,,,,,
,סנדוויצים,,,,,,,,,
,תבשילים,,,,,,,,,
,פסטות,,,,,,,,,
,בשר,,,,,,,,,
,עוף,,,,,,,,,
,דגים ופירות ים,,,,,,,,,
,גריל,,,,,,,,,
,גבינות,,,,,,,,,
,פיצות,,,,,,,,,
,סושי,,,,,,,,,
,מיצים ושייקים,,,,,,,,,
,משקה בריאות,,,,,,,,,
,משקה קר,,,,,,,,,
,משקה חם,,,,,,,,,
,משקה אלכוהולי,,,,,,,,,
