Id_Holiday,Name_Holiday
,כללי
,שבתות
,ראש השנה
,יום כיפור ותעניות
,סוכות
,חנוכה
,טו בשבט
,פורים
,פסח
,פסח ללא קטניות
,מימונה
,לג בעומר
,שבועות
