Id_FoodLabel,Name_FoodLabel
,ללא גלוטן
,ללא לקטוז
,ללא סוכר
,ללא אגוזים
,ללא בוטנים
,ללא סויה
,ללא ביצים
,כשר
,לא כשר
,אוכל בריא
,פליאו
,ארוחות ילדים
,ארוחות בוקר
,ארוחות צהרים
,ארוחות ערב
