Id_Kitchen,Kitchen_Name
,כללי
,ישראלי
,ערבי
,איטלקי
,אסיאתי
,ספרדי
,פולני
,צרפתי
,ארגנטינאי
,בריזילאי
,מקסיקני
,רומני
,בולגרי
,טורקי
,יווני
,תוניסאי
,מרוקאי
,טריפוליטאי
,אנגלי
,בלגי
,פורטוגלי
,רוסי
,הודי
,עירקי
,תימני
,אתיופי
,אירופאי
,אפריקאי
,אמריקאי
,דרום אמריקאי
