Id_Region,Region
5,יהודה ושומרון
7,השפלה
4,השרון
10,דרום
6,ירושלים והסביבה
3,מישור החוף
9,מרכז
8,ערבה 
2,צפון
1,רמת הגולן ואצבע גליל
